CustomerID,Cluster
C0199,3
C0146,3
C0127,3
C0087,3
C0070,1
C0188,3
C0195,1
C0008,3
C0157,1
C0130,3
C0051,1
C0075,3
C0155,3
C0092,3
C0088,3
C0109,1
C0041,1
C0101,3
C0154,0
C0200,1
C0049,0
C0103,0
C0028,1
C0183,1
C0087,1
C0190,1
C0200,0
C0055,3
C0188,3
C0148,1
C0035,1
C0120,1
C0017,1
C0145,3
C0028,3
C0092,1
C0188,3
C0004,3
C0087,3
C0010,0
C0065,0
C0132,0
C0068,0
C0123,0
C0018,3
C0064,0
C0121,0
C0041,3
C0070,3
C0161,0
C0173,0
C0132,3
C0150,3
C0176,4
C0167,3
C0184,3
C0184,3
C0034,3
C0053,4
C0102,3
C0134,4
C0086,3
C0036,1
C0056,3
C0076,1
C0194,3
C0146,1
C0124,4
C0053,1
C0065,3
C0024,3
C0004,4
C0139,3
C0133,4
C0173,2
C0076,3
C0012,1
C0184,3
C0128,3
C0158,4
C0012,4
C0133,1
C0164,2
C0067,0
C0142,0
C0121,0
C0032,0
C0063,0
C0113,0
C0136,0
C0017,0
C0194,0
C0172,0
C0068,3
C0125,0
C0086,1
C0002,3
C0008,0
C0017,3
C0122,1
C0109,1
C0071,1
C0162,3
C0141,2
C0155,1
C0156,1
C0188,2
C0064,3
C0183,1
C0191,2
C0147,3
C0087,4
C0028,4
C0138,2
C0153,1
C0043,1
C0135,1
C0122,1
C0091,2
C0168,2
C0012,2
C0069,1
C0184,3
C0125,1
C0173,3
C0066,2
C0186,3
C0023,4
C0101,4
C0105,0
C0072,3
C0093,0
C0009,0
C0162,3
C0083,0
C0001,0
C0039,0
C0124,0
C0165,0
C0143,0
C0165,0
C0038,0
C0019,0
C0083,0
C0073,0
C0156,0
C0047,0
C0190,0
C0086,0
C0171,0
C0181,0
C0072,0
C0108,0
C0090,0
C0126,0
C0056,0
C0106,0
C0166,1
C0088,1
C0069,1
C0113,1
C0086,1
C0125,1
C0192,3
C0074,3
C0162,3
C0048,1
C0122,1
C0006,0
C0142,3
C0139,0
C0048,3
C0171,0
C0119,0
C0184,3
C0186,3
C0071,0
C0193,0
C0148,3
C0027,0
C0191,3
C0153,2
C0101,2
C0161,1
C0103,1
C0047,3
C0156,1
C0079,1
C0193,4
C0145,0
C0109,3
C0004,3
C0082,3
C0181,0
C0065,3
C0025,3
C0111,0
C0160,0
C0159,0
C0093,0
C0008,0
C0117,0
C0061,4
C0090,4
C0028,4
C0189,4
C0037,2
C0145,1
C0021,3
C0099,2
C0012,3
C0167,3
C0052,3
C0114,3
C0163,3
C0102,0
C0119,0
C0038,0
C0182,3
C0065,3
C0200,3
C0052,0
C0178,0
C0090,3
C0018,3
C0081,0
C0006,1
C0197,1
C0100,3
C0116,1
C0122,3
C0149,4
C0127,3
C0178,4
C0075,4
C0106,1
C0059,4
C0026,1
C0195,1
C0027,0
C0153,0
C0178,0
C0109,0
C0135,0
C0172,0
C0101,0
C0137,0
C0012,0
C0169,0
C0094,0
C0111,0
C0136,0
C0046,0
C0147,0
C0152,0
C0131,0
C0116,0
C0157,0
C0175,0
C0043,0
C0076,0
C0124,1
C0021,2
C0041,2
C0057,2
C0126,2
C0165,2
C0171,4
C0006,4
C0093,3
C0106,0
C0136,3
C0175,3
C0075,3
C0046,0
C0128,0
C0014,0
C0022,0
C0159,3
C0195,3
C0193,4
C0059,3
C0082,4
C0081,3
C0160,3
C0165,2
C0139,1
C0008,3
C0035,4
C0104,3
C0187,4
C0185,4
C0098,1
C0042,2
C0026,3
C0141,2
C0103,3
C0149,2
C0081,2
C0142,4
C0093,4
C0158,2
C0093,2
C0113,3
C0159,4
C0042,3
C0188,2
C0175,3
C0143,4
C0155,1
C0099,1
C0139,3
C0092,3
C0141,1
C0092,2
C0067,3
C0083,3
C0010,4
C0101,1
C0013,4
C0029,4
C0093,3
C0035,0
C0045,3
C0084,0
C0118,0
C0039,0
C0075,0
C0069,0
C0084,0
C0157,0
C0197,3
C0091,0
C0084,0
C0076,3
C0049,0
C0102,3
C0022,0
C0152,0
C0102,3
C0139,0
C0118,0
C0047,0
C0153,3
C0156,0
C0112,3
C0056,1
C0172,3
C0085,4
C0140,2
C0096,1
C0098,3
C0007,3
C0181,1
C0162,4
C0009,3
C0155,3
C0112,4
C0156,2
C0177,4
C0170,3
C0085,3
C0136,4
C0081,1
C0011,3
C0018,4
C0046,3
C0087,1
C0189,3
C0041,1
C0174,3
C0005,1
C0004,3
C0003,1
C0162,1
C0141,3
C0021,3
C0064,1
C0055,4
C0096,4
C0049,1
C0039,1
C0173,3
C0018,1
C0019,1
C0064,1
C0034,1
C0098,3
C0026,1
C0084,1
C0197,3
C0113,0
C0113,0
C0062,0
C0098,0
C0067,0
C0190,0
C0160,0
C0060,0
C0166,0
C0172,0
C0043,0
C0161,0
C0109,3
C0109,0
C0156,3
C0077,0
C0148,4
C0168,4
C0072,2
C0048,3
C0192,4
C0005,1
C0096,2
C0016,3
C0102,4
C0114,4
C0088,3
C0053,2
C0124,3
C0192,3
C0153,1
C0190,4
C0051,3
C0111,4
C0016,3
C0046,1
C0105,4
C0097,0
C0065,3
C0154,0
C0035,3
C0179,3
C0160,3
C0194,3
C0188,3
C0025,0
C0140,0
C0124,0
C0199,3
C0104,3
C0121,3
C0001,3
C0085,1
C0039,1
C0098,3
C0136,1
C0158,3
C0182,4
C0157,3
C0185,1
C0086,3
C0080,1
C0137,1
C0177,1
C0045,4
C0021,1
C0152,4
C0068,4
C0040,1
C0062,1
C0009,3
C0029,3
C0195,1
C0145,3
C0022,4
C0087,1
C0179,3
C0175,3
C0100,1
C0024,1
C0104,4
C0027,4
C0156,3
C0062,3
C0017,3
C0156,1
C0129,4
C0098,3
C0106,3
C0028,1
C0105,0
C0008,3
C0107,3
C0047,4
C0013,1
C0032,3
C0122,2
C0090,4
C0141,2
C0084,4
C0054,4
C0144,4
C0047,3
C0163,3
C0045,4
C0152,3
C0163,4
C0037,1
C0012,3
C0172,1
C0166,1
C0089,1
C0170,1
C0126,1
C0127,3
C0139,3
C0179,4
C0173,1
C0065,2
C0023,1
C0082,1
C0050,1
C0171,4
C0015,3
C0037,3
C0129,3
C0187,3
C0162,1
C0079,3
C0172,3
C0100,4
C0049,0
C0077,0
C0189,0
C0091,0
C0082,0
C0173,0
C0111,0
C0183,0
C0053,0
C0033,0
C0108,0
C0010,0
C0147,0
C0041,1
C0169,1
C0148,1
C0161,3
C0119,3
C0134,1
C0108,3
C0039,1
C0136,1
C0024,3
C0017,3
C0001,3
C0164,3
C0059,3
C0020,1
C0045,1
C0021,3
C0007,1
C0044,3
C0117,1
C0104,4
C0119,3
C0026,4
C0161,3
C0075,3
C0051,2
C0073,1
C0171,2
C0104,3
C0011,1
C0013,2
C0169,2
C0137,1
C0131,1
C0023,3
C0167,4
C0175,1
C0042,3
C0099,4
C0147,3
C0155,2
C0185,4
C0154,4
C0025,1
C0100,3
C0200,2
C0174,2
C0141,2
C0118,2
C0068,2
C0183,1
C0008,4
C0169,4
C0099,1
C0165,4
C0141,4
